transaction_id,customer_id,month,revenue,segment
1,138,2024-01-01,1256.24,Mid-Market
2,1,2024-02-01,810.6,SMB
3,4,2024-02-01,4042.54,Mid-Market
4,5,2024-02-01,2317.26,Mid-Market
5,35,2024-02-01,924.51,SMB
6,44,2024-02-01,847.35,SMB
7,56,2024-02-01,12251.9,Enterprise
8,71,2024-02-01,316.87,SMB
9,106,2024-02-01,2759.26,Mid-Market
10,130,2024-02-01,696.7,SMB
11,138,2024-02-01,1301.88,Mid-Market
12,150,2024-02-01,912.06,SMB
13,167,2024-02-01,601.04,SMB
14,181,2024-02-01,11318.49,Enterprise
15,239,2024-02-01,9406.92,Enterprise
16,263,2024-02-01,601.15,SMB
17,270,2024-02-01,3013.64,Mid-Market
18,302,2024-02-01,315.69,SMB
19,336,2024-02-01,4956.02,Mid-Market
20,353,2024-02-01,437.98,SMB
21,357,2024-02-01,9570.37,Enterprise
22,360,2024-02-01,6815.99,Enterprise
23,367,2024-02-01,380.66,SMB
24,407,2024-02-01,293.54,SMB
25,485,2024-02-01,1846.27,Mid-Market
26,493,2024-02-01,1210.39,Mid-Market
27,1,2024-03-01,807.24,SMB
28,4,2024-03-01,3940.92,Mid-Market
29,5,2024-03-01,2374.15,Mid-Market
30,15,2024-03-01,247.28,SMB
31,23,2024-03-01,3091.68,Mid-Market
32,35,2024-03-01,899.18,SMB
33,44,2024-03-01,848.07,SMB
34,56,2024-03-01,11757.56,Enterprise
35,58,2024-03-01,236.19,SMB
36,71,2024-03-01,317.66,SMB
37,82,2024-03-01,4769.08,Mid-Market
38,102,2024-03-01,1532.22,Mid-Market
39,106,2024-03-01,2808.58,Mid-Market
40,109,2024-03-01,4332.36,Mid-Market
41,110,2024-03-01,450.32,SMB
42,130,2024-03-01,700.53,SMB
43,138,2024-03-01,1317.04,Mid-Market
44,150,2024-03-01,941.58,SMB
45,167,2024-03-01,614.93,SMB
46,181,2024-03-01,11833.05,Enterprise
47,183,2024-03-01,8968.68,Enterprise
48,195,2024-03-01,540.21,SMB
49,197,2024-03-01,369.12,SMB
50,212,2024-03-01,2107.18,Mid-Market
51,230,2024-03-01,363.13,SMB
52,239,2024-03-01,9407.01,Enterprise
53,263,2024-03-01,613.45,SMB
54,270,2024-03-01,3108.05,Mid-Market
55,286,2024-03-01,672.37,SMB
56,302,2024-03-01,327.09,SMB
57,317,2024-03-01,318.5,SMB
58,336,2024-03-01,5025.57,Mid-Market
59,340,2024-03-01,12411.19,Enterprise
60,353,2024-03-01,423.36,SMB
61,357,2024-03-01,9252.99,Enterprise
62,360,2024-03-01,7041.94,Enterprise
63,367,2024-03-01,387.21,SMB
64,396,2024-03-01,337.13,SMB
65,407,2024-03-01,290.22,SMB
66,413,2024-03-01,927.12,SMB
67,439,2024-03-01,798.54,SMB
68,447,2024-03-01,297.21,SMB
69,485,2024-03-01,1810.6,Mid-Market
70,493,2024-03-01,1209.43,Mid-Market
71,1,2024-04-01,778.66,SMB
72,4,2024-04-01,3958.71,Mid-Market
73,5,2024-04-01,2281.41,Mid-Market
74,15,2024-04-01,248.2,SMB
75,16,2024-04-01,819.97,SMB
76,20,2024-04-01,363.99,SMB
77,23,2024-04-01,3119.04,Mid-Market
78,35,2024-04-01,917.74,SMB
79,44,2024-04-01,823.28,SMB
80,56,2024-04-01,11663.86,Enterprise
81,58,2024-04-01,229.84,SMB
82,71,2024-04-01,310.78,SMB
83,82,2024-04-01,4663.18,Mid-Market
84,90,2024-04-01,297.75,SMB
85,102,2024-04-01,1513.63,Mid-Market
86,106,2024-04-01,2837.14,Mid-Market
87,109,2024-04-01,4434.44,Mid-Market
88,130,2024-04-01,684.75,SMB
89,138,2024-04-01,1302.91,Mid-Market
90,150,2024-04-01,929.06,SMB
91,164,2024-04-01,291.12,SMB
92,167,2024-04-01,582.43,SMB
93,176,2024-04-01,848.38,SMB
94,181,2024-04-01,11176.54,Enterprise
95,183,2024-04-01,9265.75,Enterprise
96,192,2024-04-01,450.82,SMB
97,195,2024-04-01,536.68,SMB
98,197,2024-04-01,353.35,SMB
99,203,2024-04-01,4992.67,Mid-Market
100,212,2024-04-01,2146.64,Mid-Market
101,230,2024-04-01,367.91,SMB
102,239,2024-04-01,9583.84,Enterprise
103,245,2024-04-01,667.29,SMB
104,249,2024-04-01,3047.86,Mid-Market
105,263,2024-04-01,609.35,SMB
106,270,2024-04-01,3037.83,Mid-Market
107,277,2024-04-01,8137.35,Enterprise
108,295,2024-04-01,659.99,SMB
109,298,2024-04-01,6824.49,Enterprise
110,302,2024-04-01,326.87,SMB
111,317,2024-04-01,310.52,SMB
112,330,2024-04-01,3853.27,Mid-Market
113,336,2024-04-01,4882.81,Mid-Market
114,338,2024-04-01,2104.84,Mid-Market
115,340,2024-04-01,12338.7,Enterprise
116,350,2024-04-01,826.18,SMB
117,353,2024-04-01,425.21,SMB
118,357,2024-04-01,9469.19,Enterprise
119,360,2024-04-01,7109.59,Enterprise
120,363,2024-04-01,3684.05,Mid-Market
121,367,2024-04-01,383.93,SMB
122,396,2024-04-01,337.74,SMB
123,401,2024-04-01,940.41,SMB
124,407,2024-04-01,283.74,SMB
125,413,2024-04-01,962.78,SMB
126,414,2024-04-01,4525.22,Mid-Market
127,427,2024-04-01,13835.55,Enterprise
128,439,2024-04-01,812.91,SMB
129,447,2024-04-01,288.2,SMB
130,448,2024-04-01,437.3,SMB
131,453,2024-04-01,463.3,SMB
132,485,2024-04-01,1804.25,Mid-Market
133,490,2024-04-01,557.71,SMB
134,493,2024-04-01,1241.86,Mid-Market
135,500,2024-04-01,10856.72,Enterprise
136,1,2024-05-01,800.1,SMB
137,4,2024-05-01,3858.26,Mid-Market
138,5,2024-05-01,2348.72,Mid-Market
139,10,2024-05-01,810.98,SMB
140,15,2024-05-01,242.58,SMB
141,16,2024-05-01,813.11,SMB
142,20,2024-05-01,352.06,SMB
143,23,2024-05-01,3050.61,Mid-Market
144,32,2024-05-01,8274.1,Enterprise
145,44,2024-05-01,819.49,SMB
146,45,2024-05-01,3868.81,Mid-Market
147,56,2024-05-01,11751.38,Enterprise
148,58,2024-05-01,224.27,SMB
149,63,2024-05-01,15159.82,Enterprise
150,65,2024-05-01,261.12,SMB
151,66,2024-05-01,704.92,SMB
152,70,2024-05-01,948.55,SMB
153,71,2024-05-01,301.88,SMB
154,82,2024-05-01,4767.32,Mid-Market
155,86,2024-05-01,604.26,SMB
156,90,2024-05-01,285.59,SMB
157,102,2024-05-01,1498.39,Mid-Market
158,106,2024-05-01,2714.44,Mid-Market
159,109,2024-05-01,4497.95,Mid-Market
160,110,2024-05-01,463.32,SMB
161,118,2024-05-01,702.74,SMB
